epic,gaia_source,[C/Fe],e_[C/Fe],f_[C/Fe],[O/Fe],e_[O/Fe],f_[O/Fe],[Mg/Fe],e_[Mg/Fe],f_[Mg/Fe],[Si/Fe],e_[Si/Fe],f_[Si/Fe],[Fe/H],e_[Fe/H],f_[Fe/H],ages,ruwe,[Si/H],[Mg/H],[C/H],[O/H],e_[Si/H],e_[Mg/H],e_[C/H],e_[O/H],[Mg/Si],e_[Mg/Si],[Si/Mg],e_[Si/Mg],[C/O],e_[C/O],[Fe/Si],A(Si),A(Mg),A(C),A(O),si_moles,mg_moles,fe_moles,c_moles,o_moles,[Mg/Si]_abs,[C/O]_abs,u_w_2,halo_flag
201467145,3806293308700418048,0.0574999999999999,0.0391,0,0.5574,0.0485,0,0.3778,0.0255,0,0.4088,0.0316,0,-0.6629,0.0151,0,13.3,1.3508847,-0.2541,-0.2851,-0.6054,-0.1055,0.0233308276145702,0.0215777825767792,0.0516697963083058,0.02457388000423,-0.0309999999999999,0.0731746985735128,0.0309999999999999,0.0731746985735128,-0.4999,0.1317441608217112,-0.4088,7.2559,7.2449,7.7846,8.5545,18026026.284757297,17575188.836859643,6124914.068474847,60897575.146773,358508948.27655566,0.9749896377173888,0.1698634732536614,90.51063860121636,0
210400569,38147869460419072,-0.1383,0.0171,0,0.0781,0.0253,0,0.0209,0.0126,0,0.0516,0.0152,0,-0.2221,0.0076,0,1.8,1.054538,-0.1704999999999999,-0.2012,-0.3604,-0.144,0.0209029183411414,0.0189176294485925,0.0347621180569739,0.031425487082195,-0.0307,0.0649152889550124,0.0307,0.0649152889550124,-0.2164,0.107901753758199,-0.0516,7.3395,7.3288,8.0296,8.516,21852443.196532767,21320628.35811657,16900517.38043574,107053285.38333628,328095293.113119,0.9756633693709554,0.3262871721430853,13.043653629255877,0
212041321,665410938049959040,-0.0224,0.0231,0,0.1181,0.0322,0,0.0738,0.0172,0,0.104,0.0218,0,-0.2305,0.0111,0,3.7,1.0201437,-0.1265,-0.1567,-0.2529,-0.1124,0.0271280300084168,0.0236969369467642,0.0368040210495888,0.0370937952241826,-0.0302,0.0829402156037525,0.0302,0.0829402156037525,-0.1405,0.1203193936735601,-0.104,7.3835,7.3733,8.1371,8.547600000000001,24182433.379304077,23621093.57083574,16576773.368488807,137119745.9700924,352858025.82852775,0.9767872901926924,0.3885974979543928,66.43331468472726,0
211708654,652902344017048704,0.0225999999999999,0.0253,0,0.1108,0.0274,0,0.1006,0.0205,0,0.1308,0.0244,0,-0.5933,0.0131,0,2.4,0.98002744,-0.4625,-0.4927,-0.5707000000000001,-0.4825,0.029156080030443,0.026869733793474,0.0370430463054997,0.0333123446495665,-0.0302,0.0912956724397407,0.0302,0.0912956724397407,-0.0882,0.1147117200791497,-0.1308,7.047499999999999,7.0373,7.8193,8.1775,11155781.513508508,10896825.594561707,7189521.7186663905,65962939.374528185,150487351.88025144,0.9767872901926924,0.4383287934192464,54.17513267173418,0
220671160,2583173071901318656,0.0129,0.0267,0,0.1802,0.0327,0,0.1079,0.0208,0,0.1376,0.0264,0,-0.3412,0.014,0,5.4,1.0017537,-0.2036,-0.2333,-0.3283,-0.161,0.0310767247612649,0.0272739392852788,0.0399275270205056,0.0341556671972902,-0.0297,0.0952065500564921,0.0297,0.0952065500564921,-0.1672999999999999,0.120985827759834,-0.1376,7.3064,7.2967,8.0617,8.499,20248833.0653056,19801587.080824137,12846948.998311942,115265675.56717838,315500462.3374631,0.977912505721242,0.3653423348834552,73.70997286663453,0
220544104,2578400813479635968,0.0641,0.042,0,0.3496,0.0514,0,0.196,0.0258,0,0.2244,0.0312,0,-0.7911,0.0145,0,8.8,1.0718323,-0.5667,-0.5951,-0.727,-0.4415,0.030514294695306,0.02778594497666,0.0542521936347121,0.0361862742893948,-0.0283999999999999,0.0950267946225597,0.0283999999999999,0.0950267946225597,-0.2855,0.150158686320621,-0.2244,6.9433,6.934900000000001,7.663,8.2185,8776068.411366194,8607955.23869462,4559319.216592222,46025657.358135626,165386478.47713307,0.980844136030908,0.2782915373852603,148.44830244903443,0
248844312,3871712670005206016,-0.1118,0.0324,0,0.3567,0.0427,0,0.0495999999999999,0.0231,0,0.0778999999999999,0.0299,0,-0.3416,0.015,0,8.2,1.0613931,-0.2637,-0.292,-0.4534,0.0151,0.0390492594117442,0.0332992304516433,0.0622998961938014,0.0309706934313044,-0.0282999999999999,0.1181673435905449,0.0282999999999999,0.1181673435905449,-0.4685,0.1601987221911311,-0.0778999999999999,7.2463,7.238,7.9366,8.6751,17631935.968238316,17298163.59215103,12835121.96839499,86417162.06465498,473260218.6090042,0.9810700097431992,0.1825996749074966,63.712555277590305,0
201272670,3601850391510597120,-0.1743,0.0257,0,0.0517,0.0365,0,0.0438,0.0201,0,0.0712,0.0273,0,0.003,0.0145,0,2.5,1.0295413,0.0742,0.0468,-0.1713,0.0547,0.0364392517165559,0.0299590027870835,0.0572535345885498,0.0489455765574793,-0.0274,0.1086215302012504,0.0274,0.1086215302012504,-0.226,0.1734388757822382,-0.0712,7.5842,7.5768,8.2187,8.7147,38388398.99027686,37739835.253658615,28379190.28441558,165462659.30505526,518441788.30782354,0.98310521528177,0.3191537855100758,29.602124923728027,0
220166114,2535883523468192256,-0.0519,0.0111,0,0.0237,0.0152,0,0.008,0.01,0,0.0353,0.0122,0,0.0257,0.0069,0,3.4,1.096042,0.061,0.0337,-0.0262,0.0494,0.0176329475821631,0.015754947898244,0.0193207908540498,0.0218807633893131,-0.0272999999999999,0.0544472147468667,0.0272999999999999,0.0544472147468667,-0.0756,0.0672126428866651,-0.0353,7.571,7.5637,8.363800000000001,8.7094,37239170.62545683,36618453.59452976,29901983.67170568,231100029.0120631,512153329.0244995,0.9833316096867436,0.4512321133443382,39.45659007060798,0
247432516,3412156323295544832,-0.0383999999999999,0.0266,0,0.1298999999999999,0.0311,0,0.0581999999999999,0.0209,0,0.085,0.0259,0,-0.4472,0.0137,0,12.2,1.1136547,-0.3621999999999999,-0.389,-0.4856,-0.3173,0.0336398448833816,0.0297170178622344,0.0441050889078947,0.0359790466515579,-0.0268,0.1033535092100622,0.0268,0.1033535092100622,-0.1682999999999999,0.1310603980307763,-0.085,7.1478,7.141,7.904400000000001,8.3427,14054001.643876238,13835663.78971781,10064680.66438327,80241677.63085862,220140526.08281475,0.9844643639803782,0.3645020708303044,33.80709540910014,0
228717783,3578382896363126784,0.0321,0.0335,0,0.4477,0.0381,0,0.3371,0.0233,0,0.3637,0.0277,0,-0.7405,0.0138,0,8.7,0.99443084,-0.3768,-0.4034,-0.7084,-0.2928,0.0221269859503621,0.0207290844829394,0.0469603163770434,0.0239761100371437,-0.0266,0.0698142300608441,0.0266,0.0698142300608441,-0.4155999999999999,0.1214081561035337,-0.3637,7.1331999999999995,7.1266,7.6816,8.3672,13589391.171008,13384433.67649907,5122712.702645391,48039668.29296813,232916363.02139685,0.9849178309808174,0.2062528697846573,91.29715932053963,0
